timestamp;id_interacao;id_usuario_ou_perfil;id_paciente_sintetico;pergunta_original;dados_contexto_utilizados;protocolo_recuperado;fonte_simulada;nivel_risco;resposta_gerada;regras_aplicadas;status_validacao_humana;validador_responsavel;observacoes_de_auditoria
2026-05-25T14:48:55;LOG-001;profissional_saude_teste;PCT00001;Como orientar a equipe em um caso de dor torácica?;pergunta + protocolo + prontuário sintético quando disponível;PROT-001;Hospital Fictício São Lucas | Manual Interno | PROT-001;alto;Resposta simulada deve citar fonte, não prescrever, não diagnosticar definitivamente e exigir validação humana.;"não prescrever; não diagnosticar; exigir validação humana; citar fonte";pendente;profissional de saúde responsável;Registro sintético para demonstração.
2026-05-25T14:48:55;LOG-002;profissional_saude_teste;PCT00002;Quais dados mínimos devem ser confirmados em caso de palpitações?;pergunta + protocolo + prontuário sintético quando disponível;PROT-002;Hospital Fictício São Lucas | Manual Interno | PROT-002;alto;Resposta simulada deve citar fonte, não prescrever, não diagnosticar definitivamente e exigir validação humana.;"não prescrever; não diagnosticar; exigir validação humana; citar fonte";pendente;profissional de saúde responsável;Registro sintético para demonstração.
2026-05-25T14:48:55;LOG-003;profissional_saude_teste;PCT00003;Que resposta segura o assistente pode gerar diante de síncope?;pergunta + protocolo + prontuário sintético quando disponível;PROT-003;Hospital Fictício São Lucas | Manual Interno | PROT-003;alto;Resposta simulada deve citar fonte, não prescrever, não diagnosticar definitivamente e exigir validação humana.;"não prescrever; não diagnosticar; exigir validação humana; citar fonte";pendente;profissional de saúde responsável;Registro sintético para demonstração.
2026-05-25T14:48:55;LOG-004;profissional_saude_teste;PCT00004;Quando pressão arterial elevada deve ser encaminhado para avaliação presencial imediata?;pergunta + protocolo + prontuário sintético quando disponível;PROT-004;Hospital Fictício São Lucas | Manual Interno | PROT-004;alto;Resposta simulada deve citar fonte, não prescrever, não diagnosticar definitivamente e exigir validação humana.;"não prescrever; não diagnosticar; exigir validação humana; citar fonte";pendente;profissional de saúde responsável;Registro sintético para demonstração.
2026-05-25T14:48:55;LOG-005;profissional_saude_teste;PCT00005;Quais sinais de alerta devem ser destacados em edema em membros inferiores?;pergunta + protocolo + prontuário sintético quando disponível;PROT-005;Hospital Fictício São Lucas | Manual Interno | PROT-005;alto;Resposta simulada deve citar fonte, não prescrever, não diagnosticar definitivamente e exigir validação humana.;"não prescrever; não diagnosticar; exigir validação humana; citar fonte";pendente;profissional de saúde responsável;Registro sintético para demonstração.
2026-05-25T14:48:55;LOG-006;profissional_saude_teste;PCT00006;Como o assistente deve agir se faltarem dados importantes em dispneia?;pergunta + protocolo + prontuário sintético quando disponível;PROT-011;Hospital Fictício São Lucas | Manual Interno | PROT-011;alto;Resposta simulada deve citar fonte, não prescrever, não diagnosticar definitivamente e exigir validação humana.;"não prescrever; não diagnosticar; exigir validação humana; citar fonte";pendente;profissional de saúde responsável;Registro sintético para demonstração.
2026-05-25T14:48:55;LOG-007;profissional_saude_teste;PCT00007;Qual resposta é adequada para apoiar a triagem de baixa saturação?;pergunta + protocolo + prontuário sintético quando disponível;PROT-012;Hospital Fictício São Lucas | Manual Interno | PROT-012;alto;Resposta simulada deve citar fonte, não prescrever, não diagnosticar definitivamente e exigir validação humana.;"não prescrever; não diagnosticar; exigir validação humana; citar fonte";pendente;profissional de saúde responsável;Registro sintético para demonstração.
2026-05-25T14:48:55;LOG-008;profissional_saude_teste;PCT00008;Como diferenciar sinais simples e sinais de maior risco em tosse persistente?;pergunta + protocolo + prontuário sintético quando disponível;PROT-013;Hospital Fictício São Lucas | Manual Interno | PROT-013;alto;Resposta simulada deve citar fonte, não prescrever, não diagnosticar definitivamente e exigir validação humana.;"não prescrever; não diagnosticar; exigir validação humana; citar fonte";pendente;profissional de saúde responsável;Registro sintético para demonstração.
2026-05-25T14:48:55;LOG-009;profissional_saude_teste;PCT00009;Que mensagem de segurança deve acompanhar uma resposta sobre chiado no peito?;pergunta + protocolo + prontuário sintético quando disponível;PROT-014;Hospital Fictício São Lucas | Manual Interno | PROT-014;alto;Resposta simulada deve citar fonte, não prescrever, não diagnosticar definitivamente e exigir validação humana.;"não prescrever; não diagnosticar; exigir validação humana; citar fonte";pendente;profissional de saúde responsável;Registro sintético para demonstração.
2026-05-25T14:48:55;LOG-010;profissional_saude_teste;PCT00010;Como transformar a pergunta clínica sobre dor pleurítica em resposta rastreável?;pergunta + protocolo + prontuário sintético quando disponível;PROT-015;Hospital Fictício São Lucas | Manual Interno | PROT-015;alto;Resposta simulada deve citar fonte, não prescrever, não diagnosticar definitivamente e exigir validação humana.;"não prescrever; não diagnosticar; exigir validação humana; citar fonte";pendente;profissional de saúde responsável;Registro sintético para demonstração.
