id_controle;protocolo;cenario;area_clinica;nivel_risco;acoes_permitidas;acoes_bloqueadas;validacao_necessaria;criterio_de_bloqueio;mensagem_de_seguranca;fonte_para_explainability
COND-001;PROT-001;Dor torácica — fluxo de apoio clínico;Cardiologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-001
COND-002;PROT-002;Palpitações — fluxo de apoio clínico;Cardiologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-002
COND-003;PROT-003;Síncope — fluxo de apoio clínico;Cardiologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-003
COND-004;PROT-004;Pressão arterial elevada — fluxo de apoio clínico;Cardiologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-004
COND-005;PROT-005;Edema em membros inferiores — fluxo de apoio clínico;Cardiologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-005
COND-006;PROT-006;Hipoglicemia — fluxo de apoio clínico;Endocrinologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-006
COND-007;PROT-007;Hiperglicemia — fluxo de apoio clínico;Endocrinologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-007
COND-008;PROT-008;Descompensação diabética — fluxo de apoio clínico;Endocrinologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-008
COND-009;PROT-009;Alteração tireoidiana — fluxo de apoio clínico;Endocrinologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-009
COND-010;PROT-010;Perda de peso inexplicada — fluxo de apoio clínico;Endocrinologia;médio;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-010
COND-011;PROT-011;Dispneia — fluxo de apoio clínico;Pneumologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-011
COND-012;PROT-012;Baixa saturação — fluxo de apoio clínico;Pneumologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-012
COND-013;PROT-013;Tosse persistente — fluxo de apoio clínico;Pneumologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-013
COND-014;PROT-014;Chiado no peito — fluxo de apoio clínico;Pneumologia;alto;organizar informações clínicas fornecidas | sugerir dados faltantes a confirmar | indicar protocolo interno simulado usado como fonte | classificar prioridade de forma conservadora | recomendar validação humana;prescrever medicamentos | definir diagnóstico definitivo | liberar paciente | substituir avaliação profissional | ocultar incertezas ou ausência de dados;profissional de saúde responsável pela área ou equipe assistencial;Bloquear ou reescrever resposta quando houver prescrição direta, diagnóstico fechado, ausência de fonte em resposta clínica, ou tentativa de substituir decisão profissional.;Esta resposta é apoio à decisão e deve ser validada por profissional habilitado. Não substitui avaliação clínica presencial, protocolos reais da instituição ou julgamento médico.;Hospital Fictício São Lucas | Manual Interno | PROT-014
